bond_sym_id	coupon_rate	issue_date	maturity_date	unsecured_indicator	junior_indicator	convertible_indicator
APH.GC	4.75	20091105	20141115	0	0	0
ARAY.AA	3.75	20110801	20160801	0	0	0
ARG.GH	4.5	20090911	20140915	0	0	0
ARG.GI	2.85	20100315	20131001	0	0	0
ARG.GJ	3.25	20100930	20151001	0	0	0
ARG.GK	2.95	20110603	20160615	0	0	0
ARII.GB	7.5	20070504	20140301	0	0	0
ARM.GG	8.125	20060314	20150915	0	0	0
ARM.GI	0	20060307	20260301	0	0	0
ARM.GI	4.625	20060307	20260301	0	0	0
ARM.GK	0	20070208	20270215	0	0	1
ARM.GK	4	20070208	20270215	0	0	1
ARM.GL	10.625	20100303	20180315	0	0	0
ARP.AC	10.5	20110627	20161215	0	0	0
ARRS.AA	2	20061113	20261115	0	0	0
ARW.GB	7.5	20020701	20270115	0	0	0
ARW.GC	6.875	20020701	20180601	0	0	0
ARW.GJ	6.875	20030627	20130701	0	0	0
ARW.GK	6	20090930	20200401	0	0	0
ASCA.GE	9.25	20100219	20140601	0	0	0
ASCA.GH	7.5	20111129	20210415	0	0	0
ASH.IG	7.72	20020701	20130715	1	0	0
ASH.JA	9.125	20100527	20170601	0	0	0
AT.GN	7	20020701	20120701	0	0	0
AT.GO	7.875	20020701	20320701	0	0	0
ATAH.GD	14	20040611	20090201	0	0	0
ATH.GB	6.8	20020731	20120801	0	0	0
ATI.GD	9.375	20090601	20190601	0	0	0
ATI.GE	4.25	20090602	20140601	0	0	0
ATI.GF	5.95	20110107	20210115	0	0	0
ATK.GC	2.75	20040219	20240215	0	1	1
ATO.AA	5.5	20110610	20410615	0	0	0
ATO.GA	6.75	20020701	20280715	0	0	0
ATO.GE	5.125	20030116	20130115	0	0	0
ATO.GH	4.95	20041022	20141015	0	0	0
ATO.GI	5.95	20041022	20341015	0	0	0
ATO.GJ	6.35	20070614	20170615	0	0	0
ATO.GK	8.5	20090326	20190315	0	0	0
ATPG.GE	11.875	20110118	20150501	0	0	0
ATU.GE	6.875	20080509	20170615	0	0	0
AVB.GO	6.125	20021105	20121101	0	0	0
AVB.GP	5.375	20040421	20140415	0	0	0
AVB.GQ	4.95	20050309	20130315	0	0	0
AVB.GS	5.75	20060925	20160915	0	0	0
AVB.GT	5.7	20090911	20170315	0	0	0
AVB.GU	6.1	20090911	20200315	0	0	0
AVB.GV	3.95	20101117	20210115	0	0	0
AVP.GG	4.625	20030513	20130515	0	0	0
AVP.GH	4.2	20030623	20180715	0	0	0
AVP.GJ	4.8	20080303	20130301	0	0	0
AVP.GK	5.75	20080303	20180301	0	0	0
AVT.GI	6	20050819	20150901	0	0	0
AVT.GJ	6.625	20060912	20160915	0	0	0
AVT.GK	5.875	20070307	20140315	0	0	0
AVT.GL	5.875	20100622	20200615	0	0	0
AVTR.AA	7.5	20110204	20160215	0	0	0
AVTR.GC	4.5	20040330	20240401	0	0	0
AVY.IB	4.875	20030117	20130115	0	0	0
AVY.IC	6	20030117	20330115	0	0	0
AVY.IG	5.375	20100413	20200415	0	0	0
AVZ.GF	5.375	20030606	20130227	0	0	0
AVZ.GJ	5.375	20050307	20141215	0	0	0
AXA.GB	8.6	20020701	20301215	0	1	0
AXC.GB	12	20020701	20080815	0	0	0
AXE.GF	0	20041210	20330707	0	0	0
AXE.GI	1	20070216	20130215	0	0	0
AXP.IN	4.875	20030724	20130715	1	0	0
AXP.IU	2.8425	20031121	20331201	0	0	0
AXP.LD	5.5	20060912	20160912	0	0	0
AXP.LJ	6.15	20070828	20170828	0	0	0
AXP.LP	7	20080319	20180319	0	0	0
AXP.LQ	8.15	20080319	20380319	0	0	0
AXP.MS	7.25	20090518	20140520	0	0	0
AXP.MT	8.125	20090518	20190520	0	0	0
AZN.GC	5.4	20040524	20140601	0	0	0
AZN.GD	5.9	20070912	20170915	0	0	0
AZN.GE	6.45	20070912	20370915	0	0	0
AZN.GF	5.4	20070912	20120915	0	0	0
AZO.GC	5.875	20021021	20121015	0	0	0
AZO.GD	4.375	20030603	20130601	0	0	0
AZO.GF	5.5	20031106	20151115	0	0	0
AZO.GG	6.95	20060613	20160615	0	0	0
AZO.GH	6.5	20080804	20140115	0	0	0
AZO.GI	7.125	20080804	20180801	0	0	0
AZO.GJ	5.75	20090702	20150115	0	0	0
B.GB	3.75	20050801	20250801	0	1	1
BA.GBT	5	20090313	20140315	0	0	0
BA.GBU	6	20090313	20190315	0	0	0
BA.GBV	6.875	20090313	20390315	0	0	0
BA.GBY	4.875	20090728	20200215	0	0	0
BA.GBZ	3.5	20090728	20150215	0	0	0
BA.GCA	5.875	20090728	20400215	0	0	0
BA.GCD	1.875	20091120	20121120	0	0	0
BA.GCE	3.75	20091120	20161120	0	0	0
BA.IN	8.75	20020701	20210815	0	0	0
BA.IQ	8.625	20020701	20311115	0	0	0
BA.IR	7.95	20020701	20240815	0	0	0
BA.IU	7.25	20020701	20250615	0	0	0
BA.IX	6.625	20020701	20380215	0	0	0
BA.ZJ	5.125	20030211	20130215	0	0	0
BA.ZK	6.125	20030211	20330215	0	0	0
BAC.GBY	4.75	20030722	20130815	0	1	0
BAC.GDG	5.25	20031118	20151201	1	1	0
BAC.GGH	5.375	20040608	20140615	0	0	0
BAC.GMI	4.75	20050726	20150801	0	0	0
BAC.GUK	5.625	20061026	20161014	0	0	0
BAC.GUL	.5458	20061026	20161014	0	0	0
BAC.GUL	.58075	20061026	20161014	0	0	0
BAC.GUL	.8836	20061026	20161014	0	0	0
BAC.GUL	.93335	20061026	20161014	0	0	0
BAC.GUL	.49	20061026	20161014	0	0	0
BAC.GUL	.5128	20061026	20161014	0	0	0
BAC.GWX	5.49	20070524	20190315	1	1	0
BAC.GWY	5.42	20070524	20170315	1	1	0
BAC.HAP	6	20070823	20170901	0	0	0
BAC.HAT	.96785	20070911	20120911	0	0	0
BAC.HAU	6.5	20070911	20370915	1	1	0
BAC.HAV	5.375	20070911	20120911	0	0	0
BAC.HBM	5.75	20071204	20171201	0	0	0
BAC.HMZ	6.05	20060516	20160516	1	1	0
BAC.HTA	6.75	20020701	20280601	0	0	0
BAC.HTY	6.5	20020701	20180715	1	0	0
BAC.HWN	6.875	20020701	20181115	0	0	0
BAC.XQ	4.875	20020925	20120915	0	0	0
BAC.XV	5.125	20021107	20141115	0	0	0
BAC.ZB	4.875	20030123	20130115	0	0	0
BAM.GA	5.8	20070425	20170425	0	0	0
BAS.GB	7.125	20061012	20160415	0	0	0
BAS.GD	11.625	20091119	20140801	0	0	0
BAS.GH	7.75	20111111	20190215	0	0	0
BAX.GD	6.625	20020701	20280215	0	0	0
BAX.GF	7.65	20020701	20270201	0	0	0
BAX.GL	4.625	20031104	20150315	0	0	0
BAX.GP	5.9	20060808	20160901	0	0	0
BAX.GQ	6.25	20071207	20371201	0	0	0
BAX.GR	5.375	20080522	20180601	0	0	0
BAX.GS	4	20090226	20140301	0	0	0
BAX.GT	4.5	20090820	20190815	0	0	0
BAX.GU	1.8	20100309	20130315	0	0	0
BAX.GW	1.85	20111219	20170115	0	0	0
BBBB.GA	3.25	20070620	20270701	0	0	0
BBG.GA	5	20080312	20280315	0	0	1
BBG.GB	9.875	20090708	20160715	0	0	0
BBG.GC	7.625	20110927	20191001	0	0	0
BBT.GB	6.375	20020701	20250630	1	1	0
BBT.GJ	4.75	20020924	20121001	0	1	0
BBT.GL	5.2	20031223	20151223	1	1	0
BBT.GN	5.25	20041027	20191101	1	1	0
BBT.GO	4.9	20050708	20170630	1	1	0
BBY.GG	7	20090114	20130715	0	0	0
BBY.GH	3.75	20110311	20160315	0	0	0
BBY.GI	5.5	20110311	20210315	0	0	0
BC.GC	7.125	20020701	20270801	0	0	0
BC.GF	10.25	20080815	20130815	0	0	0
BCM.HT	1.45	20100914	20130913	0	0	0
BCM.HU	2.35	20101213	20151211	0	0	0
BCR.GA	6.7	20020701	20261201	1	0	0
BCR.GB	2.875	20101220	20160115	0	0	0
BCR.GC	4.4	20101220	20210115	0	0	0
BDK.GH	4.75	20050304	20141101	0	0	0
BDK.GI	5.75	20061116	20161115	0	0	0
BDK.GJ	8.95	20090403	20140415	0	0	0
BDX.AA	3.25	20101112	20201112	0	0	0
BDX.GC	7	20020701	20270801	0	0	0
BDX.GE	6.7	20020701	20280801	0	0	0
BDX.GG	4.9	20030409	20180415	0	0	0
BDX.GH	4.55	20030409	20130415	0	0	0
BDX.GI	5	20090515	20190515	0	0	0
BDX.GJ	6	20090515	20390515	0	0	0
BDX.GK	1.75	20111108	20161108	0	0	0
BDX.GL	3.125	20111108	20211108	0	0	0
BEC.GI	2.5	20061215	20361215	0	0	0
BEC.GJ	7	20090521	20190601	0	0	0
BEC.GK	6	20090521	20150601	0	0	0
BELM.GB	3.75	20040305	20240305	0	1	0
BELM.GC	3.75	20041218	20240305	0	1	0
BEN.GD	2	20100520	20130520	0	0	0
BEN.GE	3.125	20100520	20150520	0	0	0
BEN.GF	4.625	20100520	20200520	0	0	0
BEXP.AC	8.75	20110406	20181001	0	0	0
BEXP.AF	6.875	20110926	20190601	0	0	0
BEXP.GB	9.625	20061020	20140501	0	0	0
BFB.GI	5	20090109	20140201	0	0	0
BFB.GJ	2.5	20101216	20160115	0	0	0
BGC.GC	.875	20061115	20131115	0	0	0
BGC.GF	2.6302	20070726	20150401	0	0	0
BGC.GG	7.125	20070726	20170401	0	0	0
BGC.GI	1	20071002	20121015	0	0	0
BGC.GJ	4.5	20091218	20291115	1	1	1
BGF.GL	7.625	20100125	20180115	0	0	0
