bond_sym_id	gvkey	industry
JBHT4103930	5783	Transportation
JBHT4103932	5783	Transportation
JBHT4275569	5783	Transportation
JBL.GB	28195	Electrical Equipment
JBL.GC	28195	Electrical Equipment
JBL.GE	28195	Electrical Equipment
JBL.GF	28195	Electrical Equipment
JBL.GG	28195	Electrical Equipment
JBL3884805	28195	Electrical Equipment
JBLU.GA	147305	Transportation
JBLU.GB	147305	Transportation
JBLU.GI	147305	Transportation
JBLU.GL	147305	Transportation
JBLU.GM	147305	Transportation
JBLU.GN	147305	Transportation
JBLU.GO	147305	Transportation
JBSA3699485	12785	Food Products
JBSAY3699485	12785	Food Products
JCI.GA	6268	Business Supplies
JCI.GB	6268	Business Supplies
JCI.GC	6268	Business Supplies
JCI.GD	6268	Business Supplies
JCI.GE	6268	Business Supplies
JCI.GF	6268	Business Supplies
JCI.GG	6268	Business Supplies
JCI.GH	6268	Business Supplies
JCI.GI	6268	Business Supplies
JCI.GJ	6268	Business Supplies
JCI.GK	6268	Business Supplies
JCI.GL	6268	Business Supplies
JCI.GM	6268	Business Supplies
JCI.GN	6268	Business Supplies
JCI.GP	6268	Business Supplies
JCI.GQ	6268	Business Supplies
JCI.GR	6268	Business Supplies
JCI.GS	6268	Business Supplies
JCI.GT	6268	Business Supplies
JCI.GU	6268	Business Supplies
JCI.GV	6268	Business Supplies
JCI.GW	6268	Business Supplies
JCOM3923449	122172	Communication
JCOM4135017	122172	Communication
JCP.GA	8446	Retail
JCP.GC	8446	Retail
JCP.GD	8446	Retail
JCP.GE	8446	Retail
JCP.GF	8446	Retail
JCP.GG	8446	Retail
JCP.GH	8446	Retail
JCP.GI	8446	Retail
JCP.GJ	8446	Retail
JCP.GK	8446	Retail
JCP.GM	8446	Retail
JCP.GN	8446	Retail
JCP.GO	8446	Retail
JCP.GP	8446	Retail
JCP.GR	8446	Retail
JCP.GW	8446	Retail
JCP4163333	8446	Retail
JDAS.AA	62399	Business Services
JDN.GA	29929	Trading
JDN.GB	29929	Trading
JDSU.GA	29241	Electrical Equipment
JDSU.GB	29241	Electrical Equipment
JDSU.GD	29241	Electrical Equipment
JDSU4157451	29241	Electrical Equipment
JEF.GC	6239	Trading
JEF.GD	6239	Trading
JEF.GE	6239	Trading
JEF.GF	6239	Trading
JEF.GG	6239	Trading
JEF.GH	6239	Trading
JEF.GI	6239	Trading
JEF.GJ	6239	Trading
JEF.GK	6239	Trading
JEF.GL	6239	Trading
JEF3956115	6239	Trading
JEF3956116	6239	Trading
JHF.GZ	128659	Insurance
JJZ.GB	61534	Rubber and Plastic Products
JKS.AA	184182	Electrical Equipment
JLG.GB	6207	Machinery
JLG.GC	6207	Machinery
JLG.GD	6207	Machinery
JLL3927147	65108	Real Estate
JMP3957134	177255	Trading
JMP4091849	177255	Trading
JNJ.GH	6266	Pharmaceutical Products
JNJ.GI	6266	Pharmaceutical Products
JNJ.GJ	6266	Pharmaceutical Products
JNJ.GK	6266	Pharmaceutical Products
JNJ.GL	6266	Pharmaceutical Products
JNJ.GM	6266	Pharmaceutical Products
JNJ.GN	6266	Pharmaceutical Products
JNJ.GO	6266	Pharmaceutical Products
JNJ.GP	6266	Pharmaceutical Products
JNJ.GQ	6266	Pharmaceutical Products
JNJ.GR	6266	Pharmaceutical Products
JNJ.GS	6266	Pharmaceutical Products
JNJ.GT	6266	Pharmaceutical Products
JNJ.GU	6266	Pharmaceutical Products
JNJ.GV	6266	Pharmaceutical Products
JNJ.GW	6266	Pharmaceutical Products
JNJ.GX	6266	Pharmaceutical Products
JNJ.GY	6266	Pharmaceutical Products
JNJ.GZ	6266	Pharmaceutical Products
JNJ.HA	6266	Pharmaceutical Products
JNJ4077462	6266	Pharmaceutical Products
JNJ4077463	6266	Pharmaceutical Products
JNJ4077464	6266	Pharmaceutical Products
JNJ4077466	6266	Pharmaceutical Products
JNJ4077468	6266	Pharmaceutical Products
JNJ4077469	6266	Pharmaceutical Products
JNJ4186048	6266	Pharmaceutical Products
JNJ4186056	6266	Pharmaceutical Products
JNJ4186057	6266	Pharmaceutical Products
JNJ4340185	6266	Pharmaceutical Products
JNJ4340187	6266	Pharmaceutical Products
JNJ4340188	6266	Pharmaceutical Products
JNJ4340189	6266	Pharmaceutical Products
JNJ4340191	6266	Pharmaceutical Products
JNJ4340192	6266	Pharmaceutical Products
JNJ4340193	6266	Pharmaceutical Products
JNJ4462072	6266	Pharmaceutical Products
JNJ4462073	6266	Pharmaceutical Products
JNJ4462074	6266	Pharmaceutical Products
JNJ4462075	6266	Pharmaceutical Products
JNPR.AA	121718	Computers
JNPR.AB	121718	Computers
JNPR.GA	121718	Computers
JNPR.GB	121718	Computers
JNPR.GC	121718	Computers
JNPR.GD	121718	Computers
JNPR4103144	121718	Computers
JNPR4217452	121718	Computers
JNPR4217453	121718	Computers
JNPR4338437	121718	Computers
JNS4019758	137232	Trading
JNS4274273	137232	Trading
JNY.GA	24032	Apparel
JNY.GB	24032	Apparel
JOBS4232929	160855	Business Services
